,R Value,Sign,Hand Used,Symmetry Metric,Clinical Score
0,0.2222,1.0,LA,Distance,BBT AH
1,0.323,1.0,LA,Distance,BBT LA
2,0.2324,-1.0,LA,Distance,JEB AH
3,0.2765,-1.0,LA,Distance,JEB LA
4,0.3479,-1.0,LA,Distance,MACS
5,0.0692,1.0,LA,Distance,AHA
6,0.3674,1.0,AH,Distance,BBT AH
7,0.0375,-1.0,AH,Distance,BBT LA
8,0.033,-1.0,AH,Distance,JEB AH
9,0.1297,1.0,AH,Distance,JEB LA
10,0.1649,-1.0,AH,Distance,MACS
11,0.1005,1.0,AH,Distance,AHA
12,0.1634,1.0,LA,Angle,BBT AH
13,0.2684,1.0,LA,Angle,BBT LA
14,0.1176,-1.0,LA,Angle,JEB AH
15,0.1382,1.0,LA,Angle,JEB LA
16,0.3545,-1.0,LA,Angle,MACS
17,0.0083,1.0,LA,Angle,AHA
18,0.3256,1.0,AH,Angle,BBT AH
19,0.1808,-1.0,AH,Angle,BBT LA
20,0.1912,-1.0,AH,Angle,JEB AH
21,0.1429,1.0,AH,Angle,JEB LA
22,0.3823,-1.0,AH,Angle,MACS
23,0.0228,-1.0,AH,Angle,AHA
24,0.2517,1.0,LA,Orientation,BBT AH
25,0.1829,1.0,LA,Orientation,BBT LA
26,0.3353,-1.0,LA,Orientation,JEB AH
27,0.1824,-1.0,LA,Orientation,JEB LA
28,0.4727,-1.0,LA,Orientation,MACS
29,0.2241,1.0,LA,Orientation,AHA
30,0.5303,1.0,AH,Orientation,BBT AH
31,0.2249,-1.0,AH,Orientation,BBT LA
32,0.5165,-1.0,AH,Orientation,JEB AH
33,0.2132,-1.0,AH,Orientation,JEB LA
34,0.6117,-1.0,AH,Orientation,MACS
35,0.5616,1.0,AH,Orientation,AHA
