Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rdeltoid,,,RMidArm,,,RElbRadial,,,RElbUlna,,,RMidForeArm,,,RWrist1,,,RWrist2,,,RFingerJoint,,,LDeltoid,,,LMidArm,,,LElbRadial,,,LElbUlna,,,LMidForearm,,,Lwrist1,,,LWrist2,,,LFingerJoint,,,C7,,,Neck,,,MidSternum,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,520.628601,-148.155945,814.39093,567.404785,-91.620293,720.107666,605.774963,-62.134731,644.476685,561.950378,-102.820953,606.71405,523.788025,-17.704544,629.729492,434.892639,-50.257439,623.004761,434.892639,-50.257439,623.004761,392.352264,-6.915814,582.048401,494.364624,-331.645966,840.571106,468.009247,-435.823883,831.767029,459.188965,-522.622864,825.778809,499.9198,-519.31134,766.422485,379.083984,-514.12793,774.620361,343.986389,-551.563538,713.408752,331.896698,-491.975128,709.833496,312.468018,-510.047485,648.46637,536.67688,-248.660019,830.318665,448.000366,-245.48732,798.759827,416.984924,-231.975113,756.531433
2,0,520.659119,-148.094864,814.349854,567.457092,-91.591995,720.075867,605.813354,-62.082188,644.429199,561.967529,-102.745766,606.700928,523.815247,-17.622185,629.736816,434.886566,-50.163227,623.031433,434.886566,-50.163227,623.031433,392.364746,-6.789095,582.120422,494.344482,-331.557678,840.568665,467.98407,-435.740448,831.772705,459.164185,-522.528503,825.795227,499.907562,-519.238586,766.456299,379.043945,-514.039124,774.624695,343.971649,-551.493164,713.421082,331.872467,-491.902924,709.80835,312.448486,-510.010956,648.484497,536.687073,-248.594238,830.297546,448.257568,-245.318665,799.281738,417.005341,-231.901352,756.487671
3,0,520.692871,-148.038589,814.316223,567.482483,-91.546425,720.019714,605.848816,-62.04335,644.385498,561.972473,-102.677704,606.660217,523.855103,-17.558542,629.730896,434.952423,-50.05109,623.055908,434.952423,-50.05109,623.055908,392.401001,-6.657724,582.157715,494.317291,-331.464417,840.565552,467.953369,-435.647888,831.777893,459.109497,-522.437073,825.821228,499.858704,-519.147278,766.486084,379.032227,-513.954346,774.629028,343.932861,-551.412598,713.424316,331.87851,-491.83432,709.78479,312.42807,-509.94278,648.469421,536.678101,-248.526016,830.275696,448.179779,-245.069489,799.585022,417.0159,-231.820343,756.443542
4,0,520.703979,-147.979492,814.273315,567.536499,-91.530563,719.987,605.873108,-61.988659,644.338562,562.003601,-102.641121,606.663574,523.916321,-17.491455,629.728821,435.005402,-49.93676,623.060425,435.005402,-49.93676,623.060425,392.401428,-6.555656,582.255066,494.278168,-331.391479,840.582153,467.896606,-435.545471,831.830627,459.058685,-522.33728,825.883179,499.817535,-519.056091,766.539795,378.985443,-513.854553,774.6521,343.902802,-551.333496,713.469482,331.873962,-491.744263,709.791016,312.398376,-509.887573,648.489441,536.656555,-248.446014,830.259827,448.300323,-244.786026,798.905762,417.031097,-231.736816,756.401306
5,0,520.726318,-147.920929,814.242249,567.573547,-91.497551,719.94043,605.896362,-61.94252,644.293457,561.991882,-102.589661,606.570679,523.982544,-17.422823,629.719543,435.011108,-49.835754,623.128052,435.011108,-49.835754,623.128052,392.432831,-6.437119,582.300354,494.218872,-331.311829,840.608337,467.822571,-435.449249,831.864685,458.992767,-522.241089,825.943237,499.778137,-518.953613,766.650269,378.958679,-513.753784,774.670227,343.881165,-551.245056,713.502319,331.879974,-491.64563,709.785767,312.381958,-509.81427,648.501526,536.641113,-248.378052,830.269287,448.28006,-244.694534,798.899231,417.036713,-231.649338,756.352356
6,0,520.748169,-147.842453,814.202332,567.575806,-91.423752,719.882141,605.929688,-61.893391,644.256531,562.072632,-102.550125,606.541077,524.052795,-17.417942,629.699219,435.01413,-49.732159,623.17981,435.01413,-49.732159,623.17981,392.465851,-6.321827,582.326721,494.156342,-331.220123,840.635376,467.742859,-435.339813,831.899048,458.917664,-522.128845,826.015747,499.698639,-518.84375,766.738953,378.91153,-513.615234,774.699585,343.836151,-551.145752,713.53186,331.908417,-491.559937,709.787476,312.387115,-509.707153,648.492737,536.630066,-248.317673,830.28717,448.286377,-244.604111,798.889221,417.062073,-231.555298,756.313965
7,0,520.781067,-147.780075,814.185852,567.603516,-91.377647,719.849487,605.955627,-61.858177,644.226685,562.083313,-102.423859,606.407288,524.129089,-17.380892,629.672607,435.080017,-49.65847,623.149719,435.080017,-49.65847,623.149719,392.510101,-6.208474,582.33252,494.10376,-331.122894,840.658936,467.653778,-435.250671,831.937744,458.839081,-522.031128,826.086853,499.635895,-518.729614,766.838684,378.859833,-513.466248,774.729065,343.791687,-551.054626,713.585815,331.898376,-491.469635,709.78595,312.377502,-509.665955,648.522278,536.609192,-248.235641,830.291504,448.265015,-244.560242,798.902466,417.081085,-231.453003,756.295898
8,0,520.811584,-147.718811,814.143677,567.64563,-91.339218,719.791382,606.004089,-61.825905,644.184937,562.129944,-102.437538,606.408508,524.21936,-17.351118,629.634583,435.148712,-49.536026,623.096741,435.148712,-49.536026,623.096741,392.56485,-6.106791,582.319824,494.057922,-331.025543,840.679688,467.593475,-435.15387,831.991455,458.749786,-521.929382,826.167297,499.568329,-518.630554,766.927795,378.796478,-513.349915,774.772949,343.728271,-550.962219,713.633911,331.86499,-491.376984,709.809021,312.367737,-509.584259,648.536621,536.590759,-248.141403,830.286621,448.242981,-244.469147,798.916077,417.085327,-231.339294,756.27124
