Trajectories
100
,,ValidationHealth004:Rdeltoid,,,ValidationHealth004:RMidArm,,,ValidationHealth004:RElbRadial,,,ValidationHealth004:RElbUlna,,,ValidationHealth004:RMidForeArm,,,ValidationHealth004:RWrist1,,,ValidationHealth004:RWrist2,,,ValidationHealth004:RFingerJoint,,,ValidationHealth004:LDeltoid,,,ValidationHealth004:LMidArm,,,ValidationHealth004:LElbRadial,,,ValidationHealth004:LElbUlna,,,ValidationHealth004:LMidForearm,,,ValidationHealth004:Lwrist1,,,ValidationHealth004:LWrist2,,,ValidationHealth004:LFingerJoint,,,ValidationHealth004:C7,,,ValidationHealth004:Neck,,,ValidationHealth004:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,482.495,133.209,1169.05,505.936,311.187,1139.27,430.248,429.317,1066.99,522.946,443.977,1099.67,492.391,424.741,1221.67,410.024,446.816,1337.43,395.152,367.719,1328.99,423.926,366.493,1419.25,433.019,-179.325,1181.14,452.954,-357.888,1140.67,384.497,-489.655,1055.68,466.371,-469.919,1107.56,393.84,-413.854,1205.13,313.196,-468.434,1311.23,335.532,-396.186,1317.14,338.713,-417.801,1404.06,,,,361.631,-14.4319,1140.92,346.343,-6.82801,1039.14
2,0,482.485,133.141,1169.03,505.929,311.148,1139.3,430.244,429.273,1067.05,522.943,443.926,1099.74,492.368,424.674,1221.75,410.016,446.742,1337.49,395.157,367.651,1329.03,423.922,366.405,1419.31,433.001,-179.381,1181.11,452.963,-357.94,1140.66,384.543,-489.733,1055.68,466.413,-469.971,1107.59,393.74,-414.14,1205.13,313.166,-468.471,1311.21,335.526,-396.231,1317.13,338.704,-417.919,1404.05,,,,361.618,-14.5128,1140.91,346.317,-6.88199,1039.13
3,0,482.48,133.08,1169.02,505.925,311.069,1139.32,430.226,429.213,1067.11,522.937,443.898,1099.78,492.364,424.622,1221.8,410.006,446.665,1337.54,395.156,367.614,1329.07,423.891,366.332,1419.35,432.99,-179.446,1181.07,453.012,-358.02,1140.66,384.581,-489.817,1055.72,466.452,-470.041,1107.62,393.76,-414.18,1205.13,313.159,-468.496,1311.2,335.537,-396.265,1317.12,338.697,-417.926,1404.04,,,,361.606,-14.5696,1140.9,346.307,-6.94004,1039.12
4,0,482.471,133.043,1169.04,505.949,311.006,1139.36,430.208,429.163,1067.16,522.92,443.847,1099.83,492.356,424.556,1221.84,410,446.576,1337.59,395.127,367.54,1329.11,423.856,366.25,1419.42,432.981,-179.523,1181.06,453.046,-358.099,1140.66,384.634,-489.92,1055.76,466.496,-470.119,1107.64,393.896,-413.997,1205.13,313.175,-468.512,1311.21,335.507,-396.273,1317.1,338.68,-417.87,1404.03,,,,361.584,-14.6263,1140.9,346.326,-6.99044,1039.12
5,0,482.451,132.973,1169.07,505.943,310.963,1139.4,430.211,429.093,1067.21,522.866,443.8,1099.89,492.328,424.493,1221.89,409.969,446.5,1337.65,395.102,367.475,1329.16,423.794,366.176,1419.46,432.959,-179.613,1181.06,452.99,-358.117,1140.66,384.667,-490,1055.78,466.528,-470.193,1107.68,393.94,-414.018,1205.13,313.208,-468.515,1311.24,335.499,-396.257,1317.09,338.676,-417.758,1404.02,,,,361.596,-14.7052,1140.9,346.316,-7.03898,1039.14
6,0,482.451,132.915,1169.08,505.933,310.899,1139.44,430.208,429.023,1067.26,522.804,443.736,1099.95,492.301,424.439,1221.94,409.926,446.449,1337.69,395.068,367.441,1329.2,423.745,366.118,1419.51,432.942,-179.688,1181.05,453.005,-358.171,1140.67,384.693,-490.095,1055.81,466.562,-470.271,1107.72,393.962,-414.049,1205.13,313.23,-468.496,1311.29,335.495,-396.213,1317.05,338.673,-417.602,1404.02,,,,361.604,-14.7543,1140.89,346.32,-7.06509,1039.15
7,0,482.447,132.819,1169.09,505.931,310.806,1139.49,429.994,429.847,1067.48,522.739,443.678,1100,492.267,424.372,1221.97,409.844,446.413,1337.71,395.031,367.401,1329.22,423.697,366.046,1419.56,432.94,-179.758,1181.03,452.963,-358.201,1140.66,384.702,-490.175,1055.84,466.579,-470.336,1107.76,393.958,-414.045,1205.12,313.268,-468.471,1311.35,335.468,-396.155,1317.01,338.671,-417.41,1404,,,,361.609,-14.8289,1140.87,346.328,-7.11408,1039.15
8,0,482.442,132.75,1169.1,505.904,310.751,1139.52,430.159,428.898,1067.29,522.69,443.579,1100.05,492.204,424.293,1221.98,409.771,446.349,1337.72,395.015,367.357,1329.24,423.652,366.018,1419.58,432.935,-179.839,1181.02,452.921,-358.224,1140.65,384.729,-490.253,1055.9,466.606,-470.405,1107.83,393.951,-414.045,1205.1,313.308,-468.442,1311.41,335.392,-396.071,1316.96,338.687,-417.186,1403.99,,,,361.606,-14.8845,1140.85,346.33,-7.17101,1039.14
9,0,482.439,132.683,1169.1,505.906,310.653,1139.55,429.997,429.595,1067.49,522.639,443.496,1100.08,492.154,424.226,1222,409.728,446.284,1337.73,394.982,367.346,1329.25,423.598,365.962,1419.59,432.928,-179.902,1180.98,452.898,-358.237,1140.64,384.736,-490.311,1055.94,466.615,-470.46,1107.89,393.824,-414.254,1205.12,313.338,-468.397,1311.5,335.355,-395.996,1316.93,338.691,-416.955,1403.98,,,,361.629,-14.973,1140.82,346.323,-7.20161,1039.13
