Trajectories
100
,,ValidationHealthy008:Rdeltoid,,,ValidationHealthy008:RMidArm,,,ValidationHealthy008:RElbRadial,,,ValidationHealthy008:RElbUlna,,,ValidationHealthy008:RMidForeArm,,,ValidationHealthy008:RWrist1,,,ValidationHealthy008:RWrist2,,,ValidationHealthy008:RFingerJoint,,,ValidationHealthy008:LDeltoid,,,ValidationHealthy008:LMidArm,,,ValidationHealthy008:LElbRadial,,,ValidationHealthy008:LElbUlna,,,ValidationHealthy008:LMidForearm,,,ValidationHealthy008:Lwrist1,,,ValidationHealthy008:LWrist2,,,ValidationHealthy008:LFingerJoint,,,ValidationHealthy008:C7,,,ValidationHealthy008:Neck,,,ValidationHealthy008:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,276.595,166.433,1124.27,298.949,316.098,1065.05,220.183,417.743,1005.24,296.442,412.833,1032.14,275.496,424.684,1136.33,240.627,469.749,1241.25,210.135,414.577,1233.77,250.883,411.96,1289.33,276.356,-103.655,1129.04,295.937,-282.601,1089.51,230.944,-387.702,1032.99,292.825,-382.383,1069.25,263.929,-371.632,1165.07,204.766,-386.628,1265.38,180.11,-332.292,1249.28,190.193,-321.334,1323.02,325.864,26.3693,1131.25,189.158,19.128,1124.82,146.83,20.2282,995.126
2,0,276.583,166.44,1124.31,298.959,316.084,1065.11,220.19,417.742,1005.29,296.439,412.842,1032.18,275.511,424.665,1136.38,240.64,469.734,1241.31,210.168,414.573,1233.83,250.923,411.95,1289.36,276.383,-103.668,1129.1,296.035,-282.578,1089.51,231.084,-387.638,1032.91,292.968,-382.354,1069.25,264.109,-371.631,1165.06,204.976,-386.653,1265.38,180.313,-332.337,1249.32,190.391,-321.383,1323.06,325.859,26.3349,1131.25,189.163,19.0763,1124.84,146.821,20.2073,995.164
3,0,276.566,166.448,1124.35,298.886,316.16,1065.17,220.198,417.764,1005.32,296.396,412.871,1032.23,275.513,424.67,1136.43,240.643,469.726,1241.35,210.174,414.561,1233.89,250.953,411.94,1289.39,276.341,-103.138,1129.24,296.126,-282.541,1089.52,231.352,-387.77,1033.09,293.097,-382.321,1069.24,264.297,-371.631,1165.08,205.205,-386.661,1265.42,180.499,-332.358,1249.35,190.601,-321.418,1323.1,324.726,26.4957,1131.42,189.139,19.1109,1124.87,146.812,20.231,995.205
4,0,276.535,166.445,1124.37,298.891,316.141,1065.23,220.189,417.777,1005.38,296.389,412.852,1032.29,275.517,424.673,1136.5,240.637,469.722,1241.4,210.167,414.558,1233.93,250.957,411.933,1289.44,276.362,-103.096,1129.26,296.226,-282.51,1089.54,231.394,-387.672,1033,293.25,-382.299,1069.24,264.488,-371.618,1165.1,205.434,-386.66,1265.44,180.713,-332.371,1249.4,190.809,-321.434,1323.15,325.825,26.3918,1131.3,189.122,19.0973,1124.89,146.787,20.2534,995.235
5,0,276.531,166.435,1124.38,298.872,316.171,1065.26,220.201,417.784,1005.41,296.374,412.881,1032.34,275.51,424.67,1136.55,240.632,469.729,1241.43,210.173,414.553,1233.96,250.954,411.939,1289.48,276.381,-103.091,1129.28,296.333,-282.457,1089.53,231.522,-387.717,1033.05,293.388,-382.261,1069.24,264.664,-371.574,1165.1,205.659,-386.654,1265.48,180.904,-332.377,1249.44,191.014,-321.417,1323.18,324.702,26.5158,1131.44,189.092,19.1134,1124.89,146.792,20.242,995.228
6,0,276.52,166.427,1124.38,298.833,316.155,1065.28,220.194,417.802,1005.43,296.369,412.887,1032.38,275.507,424.687,1136.6,240.619,469.723,1241.45,210.161,414.562,1233.99,250.935,411.916,1289.53,276.402,-103.065,1129.27,296.417,-282.404,1089.51,231.528,-387.772,1033.1,293.532,-382.223,1069.25,264.833,-371.527,1165.1,205.895,-386.655,1265.54,181.081,-332.38,1249.49,191.212,-321.368,1323.19,325.673,26.4346,1131.33,189.032,19.1918,1124.87,146.793,20.2408,995.227
7,0,276.52,166.413,1124.39,298.855,316.117,1065.28,220.17,417.782,1005.47,296.404,412.848,1032.38,275.498,424.703,1136.65,240.592,469.7,1241.49,210.121,414.566,1234,250.888,411.873,1289.56,276.397,-103.013,1129.28,296.511,-282.354,1089.49,231.651,-387.619,1032.96,293.643,-382.204,1069.24,264.982,-371.497,1165.09,206.111,-386.64,1265.57,181.271,-332.372,1249.53,191.439,-321.344,1323.22,325.65,26.428,1131.34,189.027,19.1443,1124.88,146.787,20.2327,995.23
8,0,276.486,166.432,1124.38,298.882,316.133,1065.32,220.152,417.781,1005.52,296.388,412.841,1032.41,275.471,424.712,1136.68,240.561,469.689,1241.51,210.055,414.576,1234.04,250.819,411.856,1289.6,276.414,-103.002,1129.3,296.618,-282.34,1089.48,231.613,-387.697,1033.05,293.743,-382.183,1069.26,265.148,-371.482,1165.12,206.309,-386.58,1265.62,181.465,-332.339,1249.61,191.668,-321.294,1323.26,325.577,26.4618,1131.34,188.996,19.1714,1124.87,146.784,20.2404,995.224
9,0,276.45,166.447,1124.39,298.876,316.102,1065.33,220.128,417.774,1005.57,296.332,412.84,1032.45,275.43,424.742,1136.75,240.508,469.681,1241.55,209.991,414.576,1234.08,250.753,411.836,1289.63,276.426,-102.98,1129.33,296.718,-282.314,1089.48,231.802,-387.064,1032.46,293.822,-382.168,1069.25,265.301,-371.462,1165.16,206.528,-386.537,1265.68,181.677,-332.286,1249.7,191.933,-321.242,1323.32,325.519,26.4625,1131.37,188.957,19.1974,1124.86,146.803,20.2505,995.233
10,0,276.429,166.462,1124.39,298.79,316.124,1065.33,220.1,417.8,1005.6,296.306,412.9,1032.49,275.364,424.759,1136.8,240.424,469.654,1241.57,209.922,414.555,1234.09,250.679,411.798,1289.66,276.445,-102.966,1129.34,296.779,-282.3,1089.48,231.781,-387.527,1033.02,293.894,-382.158,1069.26,265.433,-371.434,1165.17,206.737,-386.492,1265.74,181.872,-332.202,1249.79,192.198,-321.189,1323.39,325.476,26.4911,1131.36,188.948,19.1787,1124.85,146.794,20.2487,995.231
11,0,276.388,166.471,1124.38,298.741,316.169,1065.36,220.073,417.804,1005.61,296.218,412.92,1032.54,275.298,424.766,1136.82,240.348,469.626,1241.57,209.833,414.538,1234.12,250.593,411.761,1289.67,276.472,-102.959,1129.37,296.818,-282.265,1089.46,231.874,-387.078,1032.54,293.958,-382.143,1069.25,265.571,-371.41,1165.17,206.95,-386.435,1265.79,182.047,-332.123,1249.85,192.459,-321.115,1323.45,325.477,26.4927,1131.37,188.956,19.1608,1124.83,146.812,20.1923,995.221
12,0,276.392,166.47,1124.37,298.786,316.131,1065.37,220.012,417.771,1005.62,296.167,412.897,1032.55,275.242,424.74,1136.84,240.244,469.553,1241.56,209.743,414.523,1234.12,250.523,411.731,1289.66,276.476,-102.923,1129.33,296.863,-282.276,1089.47,231.786,-387.575,1033.1,294.01,-382.142,1069.24,265.688,-371.366,1165.18,207.121,-386.387,1265.85,182.243,-332.047,1249.9,192.711,-321.059,1323.52,324.664,26.6225,1131.43,188.931,19.2024,1124.76,146.833,20.1871,995.195
13,0,276.364,166.465,1124.35,298.682,316.126,1065.37,219.952,417.753,1005.62,296.108,412.892,1032.55,275.138,424.749,1136.82,240.144,469.523,1241.57,209.659,414.507,1234.12,250.434,411.708,1289.64,276.502,-102.901,1129.32,296.885,-282.265,1089.48,231.911,-387.068,1032.61,294.047,-382.1,1069.23,265.791,-371.324,1165.2,207.282,-386.337,1265.92,182.443,-332.001,1249.98,192.931,-320.987,1323.57,325.354,26.5509,1131.37,188.946,19.1617,1124.73,146.851,20.1268,995.161
14,0,276.379,166.448,1124.35,298.536,316.251,1065.39,219.856,417.753,1005.6,296.046,412.866,1032.55,275.063,424.721,1136.84,240.058,469.508,1241.6,209.575,414.47,1234.12,250.353,411.672,1289.64,276.529,-102.88,1129.36,296.905,-282.273,1089.52,231.959,-387.087,1032.69,294.101,-382.087,1069.25,265.87,-371.26,1165.2,207.418,-386.29,1265.99,182.605,-331.935,1250.07,193.129,-320.9,1323.6,325.318,26.5461,1131.35,188.975,19.0605,1124.73,146.877,20.0739,995.131
