Trajectories
100
,,ValidationHealth004:Rdeltoid,,,ValidationHealth004:RMidArm,,,ValidationHealth004:RElbRadial,,,ValidationHealth004:RElbUlna,,,ValidationHealth004:RMidForeArm,,,ValidationHealth004:RWrist1,,,ValidationHealth004:RWrist2,,,ValidationHealth004:RFingerJoint,,,ValidationHealth004:LDeltoid,,,ValidationHealth004:LMidArm,,,ValidationHealth004:LElbRadial,,,ValidationHealth004:LElbUlna,,,ValidationHealth004:LMidForearm,,,ValidationHealth004:Lwrist1,,,ValidationHealth004:LWrist2,,,ValidationHealth004:LFingerJoint,,,ValidationHealth004:C7,,,ValidationHealth004:Neck,,,ValidationHealth004:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,414.040009,133.511139,1179.323120,411.777435,307.908447,1147.912476,443.522552,439.970947,1148.061890,515.479309,411.998474,1083.324097,368.199036,427.180267,1030.138062,338.845551,459.020844,896.229248,355.530151,377.359467,887.903015,297.579468,382.082794,813.691101,382.842377,-194.886215,1167.060425,369.885620,-367.816132,1151.266724,366.307556,-479.307312,1154.524658,442.376373,-510.471466,1101.577759,321.083984,-443.570251,1021.080139,252.728851,-515.331299,920.048828,273.351074,-439.023010,908.417175,207.342590,-442.475708,847.038696,,,,339.048676,-27.823341,1121.080322,,,
2,0,413.981842,133.522873,1179.328979,411.728394,307.912964,1147.918213,443.504211,439.977661,1148.091187,515.479309,412.038544,1083.373047,368.226746,427.237030,1030.147339,338.927277,459.063477,896.214600,355.499878,377.391144,887.950195,297.590912,382.156158,813.698792,382.855530,-194.902725,1167.035645,369.930450,-367.824341,1151.268677,366.365326,-479.311157,1154.528320,442.445190,-510.456512,1101.599243,321.126007,-443.652740,1021.036011,252.896042,-515.530823,920.005127,273.476990,-439.194000,908.341431,207.470352,-442.705750,846.975220,,,,339.033356,-27.837530,1121.093994,333.929504,-16.300808,1024.920166
3,0,413.961548,133.532455,1179.351440,411.706390,307.930756,1147.941772,443.511810,439.989166,1148.115112,515.493286,412.036133,1083.404785,368.223419,427.282074,1030.147461,339.008972,459.138458,896.201172,355.467010,377.417877,887.974915,297.620789,382.201447,813.688904,382.886505,-194.930099,1167.034668,369.993103,-367.829956,1151.277344,366.429749,-479.313782,1154.533936,442.540649,-510.448273,1101.601563,321.158234,-443.722504,1020.984863,253.066238,-515.728699,919.957886,273.584625,-439.381439,908.280212,207.595459,-442.936218,846.889343,,,,339.020905,-27.866213,1121.093384,333.898682,-16.305674,1024.947510
4,0,413.915741,133.527496,1179.381470,411.693756,307.953522,1147.947144,443.518677,440.010651,1148.127930,515.486450,412.034302,1083.427979,368.239227,427.367523,1030.143555,339.067505,459.199738,896.179810,355.485016,377.444366,888.009338,297.637604,382.259186,813.675659,382.913696,-194.948151,1167.043579,370.058960,-367.830414,1151.299561,366.510468,-479.324066,1154.546875,442.615479,-510.439270,1101.626709,321.221375,-443.832489,1020.964722,253.213852,-515.926147,919.923218,273.683136,-439.565613,908.240173,207.726898,-443.215424,846.830200,,,,339.024200,-27.906107,1121.106323,333.929077,-16.302715,1024.990479
5,0,413.864105,133.459976,1179.389404,411.672943,307.941833,1147.972900,443.505463,440.016052,1148.136597,515.484375,412.026520,1083.430298,368.274658,427.423767,1030.127319,339.154480,459.270782,896.178772,355.485352,377.503906,887.999573,297.687775,382.325623,813.671021,382.939667,-194.972763,1167.072998,370.133453,-367.834503,1151.318726,366.587189,-479.323181,1154.561768,442.704254,-510.424377,1101.660645,321.230133,-443.921692,1020.935059,253.364319,-516.121643,919.899170,273.778809,-439.758179,908.184753,207.842606,-443.451538,846.755249,,,,339.025299,-27.925699,1121.115479,333.897552,-16.303425,1025.062744
6,0,413.822510,133.470871,1179.394165,411.677216,307.935028,1147.982910,443.511200,440.015259,1148.138916,515.463623,412.033203,1083.461792,368.293854,427.459351,1030.128052,339.177216,459.312805,896.184570,355.535217,377.536102,888.010925,297.736267,382.333679,813.660828,382.956787,-194.984146,1167.081177,370.195679,-367.833435,1151.343018,366.654602,-479.332611,1154.571289,442.793304,-510.422455,1101.680908,321.253021,-443.992981,1020.936951,253.495865,-516.283386,919.864502,273.876221,-439.945740,908.167847,207.957825,-443.669678,846.670166,,,,339.011871,-28.001934,1121.120239,333.917725,-16.320335,1025.097778
7,0,413.794250,133.433334,1179.381470,411.637909,307.911957,1148.012695,443.494995,439.996368,1148.157349,515.464478,412.015045,1083.495361,368.289917,427.462189,1030.140259,339.188873,459.304474,896.201233,355.597321,377.590820,887.970642,297.796356,382.366730,813.630737,382.975891,-194.999741,1167.098999,370.253723,-367.838501,1151.366455,366.728790,-479.337769,1154.580566,442.878265,-510.424438,1101.698975,321.314087,-444.067505,1020.921326,253.609711,-516.455933,919.863892,273.949799,-440.101898,908.116272,208.072495,-443.874512,846.604004,,,,339.022308,-28.095604,1121.107178,333.951721,-16.349438,1025.138428
8,0,413.799561,133.372574,1179.349731,411.649902,307.891571,1148.014160,443.480469,439.979889,1148.163696,515.448181,412.018707,1083.522217,368.278168,427.429932,1030.160400,339.166840,459.325989,896.218811,355.648285,377.632355,887.964233,297.834869,382.348999,813.607727,383.001038,-195.006134,1167.123291,370.312592,-367.834320,1151.374878,366.794922,-479.343414,1154.579224,442.977692,-510.426453,1101.725342,321.348877,-444.128113,1020.917175,253.714050,-516.586365,919.872864,274.047882,-440.254425,908.085083,208.173096,-444.036255,846.572327,,,,339.022247,-28.171049,1121.097656,333.912262,-16.379875,1025.154785
9,0,413.781067,133.369736,1179.345825,411.647400,307.851105,1148.013794,443.445740,439.962006,1148.185791,515.437927,412.020081,1083.559814,368.276855,427.423798,1030.186523,339.143219,459.300079,896.247437,355.648132,377.663452,887.953186,297.859558,382.353607,813.610474,383.036133,-195.046570,1167.149780,370.373688,-367.852020,1151.392578,366.866913,-479.341492,1154.606689,443.062073,-510.423065,1101.735718,321.438171,-444.202454,1020.900757,253.813599,-516.689331,919.899902,274.120270,-440.342133,908.062439,208.261887,-444.167358,846.574219,,,,339.007111,-28.218233,1121.093140,333.911713,-16.428459,1025.170044
