Trajectories
100
,,ValidationHealthy011:Rdeltoid,,,ValidationHealthy011:RMidArm,,,ValidationHealthy011:RElbRadial,,,ValidationHealthy011:RElbUlna,,,ValidationHealthy011:RMidForeArm,,,ValidationHealthy011:RWrist1,,,ValidationHealthy011:RWrist2,,,ValidationHealthy011:RFingerJoint,,,ValidationHealthy011:LDeltoid,,,ValidationHealthy011:LMidArm,,,ValidationHealthy011:LElbRadial,,,ValidationHealthy011:LElbUlna,,,ValidationHealthy011:LMidForearm,,,ValidationHealthy011:Lwrist1,,,ValidationHealthy011:LWrist2,,,ValidationHealthy011:LFingerJoint,,,ValidationHealthy011:C7,,,ValidationHealthy011:Neck,,,ValidationHealthy011:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,643.916,197.545,1120.28,651.871,402.764,1047.2,670.726,481.199,1011.13,738,487.822,958.107,583.7,479.628,844.523,555.847,531.826,756.438,573.923,461.073,735.766,512.833,465.918,681.652,619.12,-139.793,1116.65,637.112,-312.521,1052.46,652.309,-413.693,1007.34,709.769,-381.188,935.951,571.301,-433.362,882.603,532.566,-478.662,763.273,534.746,-407.487,753.254,465.018,-413.718,695.818,702.087,32.502,1110.44,517.082,25.3428,1083.36,504.025,24.1685,1028.22
2,0,643.801,197.559,1120.29,651.888,402.797,1047.24,670.75,481.197,1011.14,738.023,487.764,958.121,583.795,479.559,844.507,555.956,531.783,756.368,574.008,461.031,735.699,512.904,465.864,681.646,619.158,-139.783,1116.68,637.203,-312.518,1052.45,652.542,-413.561,1007.2,709.967,-381.21,935.937,571.392,-433.24,882.616,532.605,-478.49,763.263,534.865,-407.329,753.222,465.132,-413.5,695.757,702.086,32.547,1110.43,517.058,24.66,1083.34,503.944,24.1198,1028.21
3,0,643.692,197.576,1120.3,651.863,402.781,1047.26,670.742,481.213,1011.11,738.001,487.734,958.104,583.86,479.545,844.449,556.105,531.787,756.254,574.068,461.007,735.649,512.966,465.885,681.61,619.189,-139.791,1116.71,637.3,-312.551,1052.47,652.646,-413.585,1007.16,709.966,-381.129,935.874,571.485,-433.152,882.624,532.669,-478.351,763.233,534.974,-407.184,753.21,465.204,-413.319,695.754,702.044,32.5671,1110.44,517.055,23.9509,1083.33,503.832,24.105,1028.25
4,0,643.612,197.585,1120.3,651.805,402.773,1047.22,670.712,481.171,1011.07,737.992,487.675,958.098,583.914,479.546,844.382,556.273,531.839,756.119,574.122,461.024,735.536,513.075,465.912,681.484,619.218,-139.769,1116.75,637.369,-312.577,1052.46,652.728,-413.593,1007.09,710.08,-381.113,935.815,571.574,-433.119,882.569,532.761,-478.246,763.161,535.077,-407.078,753.153,465.284,-413.152,695.743,702.042,32.5933,1110.44,517.008,23.1595,1083.36,503.785,24.0508,1028.24
5,0,643.575,197.593,1120.28,651.715,402.72,1047.15,670.643,481.154,1010.99,737.952,487.663,958.069,583.942,479.593,844.267,556.381,531.864,755.977,574.461,460.703,736.001,513.21,465.973,681.326,619.252,-139.768,1116.8,637.435,-312.554,1052.44,652.796,-413.592,1007.06,710.115,-381.047,935.798,571.659,-433.116,882.472,532.861,-478.152,763.078,535.183,-406.959,753.128,465.36,-413.016,695.767,702.038,32.6202,1110.45,517.004,22.3192,1083.4,503.697,24.0119,1028.25
6,0,643.576,197.575,1120.27,651.636,402.683,1047.05,670.589,481.094,1010.92,737.938,487.623,958.04,583.937,479.635,844.15,556.454,531.88,755.847,574.511,460.734,735.868,513.345,466.045,681.15,619.268,-139.748,1116.84,637.493,-312.531,1052.46,652.868,-413.555,1007.05,710.076,-380.905,935.779,571.759,-433.135,882.38,532.945,-478.06,763.023,535.287,-406.872,753.136,465.404,-412.901,695.795,702.002,32.6626,1110.41,517.03,21.4844,1083.48,503.58,23.9612,1028.25
7,0,643.563,197.59,1120.27,651.563,402.662,1046.93,670.553,481.072,1010.82,737.933,487.585,957.98,583.921,479.687,844.024,556.482,531.916,755.751,574.578,460.788,735.722,513.475,466.121,680.955,619.283,-139.714,1116.86,637.553,-312.489,1052.49,652.951,-413.515,1007.06,710.102,-380.762,935.777,571.836,-433.122,882.329,533.025,-477.979,762.995,535.367,-406.779,753.154,465.45,-412.807,695.848,702.042,32.6531,1110.42,517.071,20.7932,1083.51,503.474,23.9174,1028.22
8,0,643.549,197.606,1120.27,651.55,402.652,1046.83,670.537,481.082,1010.74,737.938,487.56,957.894,583.93,479.731,843.885,556.491,531.942,755.666,574.644,460.858,735.572,513.62,466.195,680.792,619.333,-139.713,1116.87,637.626,-312.441,1052.54,653.014,-413.469,1007.1,710.074,-380.66,935.858,571.919,-433.102,882.361,533.094,-477.909,763.01,535.47,-406.692,753.218,465.507,-412.713,695.918,702.129,32.6411,1110.47,517.085,20.2517,1083.52,503.377,23.8967,1028.21
9,0,643.509,197.637,1120.27,651.554,402.673,1046.75,670.526,481.078,1010.63,737.901,487.489,957.799,583.912,479.813,843.743,556.491,531.965,755.575,574.723,460.929,735.389,513.715,466.292,680.631,619.356,-139.678,1116.88,637.69,-312.414,1052.6,653.066,-413.446,1007.15,710.11,-380.571,935.937,572.003,-433.034,882.412,533.13,-477.84,763.05,535.541,-406.654,753.259,465.558,-412.615,695.961,702.099,32.6774,1110.44,517.129,19.8717,1083.53,503.332,23.8758,1028.21
